سوف أقوم بما تريدونه مني في المشروع والتزم بالتعليمات .;شخصية تابعة 
ليس لدي مانع ، يمكنك أن تقرر أدوار اللعبة وسوف التزم بدوري .;شخصية تابعة 
أنت أفضل في هذه اللعبة ، اختر المدينة وسوف اتبعك إليها !;شخصية تابعة 
امشي أنت أولًا وسوف اتبعك وألحق بك .;شخصية تابعة 
سوف اتبع المجموعة الثانية وألعب معهم أي ما كان ما يلعبونه .;شخصية تابعة 
أنا أحب أن أكون قائد  في فصلي .;شخصية قيادية
اقترح إنشاء فريق لتنظيم الأنشطة الخيرية في المدرسة .;شخصية قيادية
أرى في التحديات فرصة للتعلم أكثر وأكثر !;شخصية قيادية
أنا مسؤول عن تحفيز زملائي لتحقيق أهدافنا معا .;شخصية قيادية
أرى في الابتكار سبيلًا للتميز والتفوق في المدرسة .;شخصية قيادية
سوف أفعل فقط ما يفعله الآخرون وألحق بهم .;شخصية تابعة 
سوف أوافق على أي ألعاب يرغب الأطفال الآخرون في لعبها أثناء الاستراحة واتبعكم يا رفاق ;شخصية تابعة 
سوف أدعم كل ما يقرره الآخرون واتبعهم .;شخصية تابعة 
لا أعرف ماذا أفعل ، هل يمكنك أن ترشدني أنت ؟;شخصية تابعة 
أظن أن أفكارك أفضل لذلك ارشدني إلى فكرة جميلة ;شخصية تابعة 
اقترح يا معلمي إقامة حملة في فصلي لجمع التبرعات للأطفال المحتاجين .;شخصية قيادية
أنا قائد يشجع العمل الجماعي والتعاون بين الفريق ، لذلك مناسب لأن أصبح قائد الفصل !;شخصية قيادية
من يكون واثقا من نفسه يسهل عليه التغلب على التحديات ! لذلك دائمًا ما أفوز في التحديات;شخصية قيادية
أشعر بأني مسؤول عن إلهام زملائي لتحقيق أمنياتهم .;شخصية قيادية
سوف اقترح على معلمي تنظيم ورشة عمل لنتعلم مهارات القيادة .;شخصية قيادية
هل يمكنك أن تعلمني وترشدني ؟ لا أملك أدنى فكرة عن اللعبة ;شخصية تابعة 
سوف أنتظر الآخرون لأعرف ما يريدون فعله في المشروع ثم انضم إليهم واتبعهم .;شخصية تابعة 
دائمًا ما اتبع توجيهات أصدقائي  بشأن مكان الجلوس وما يجب التحدث عنه أثناء استراحة الغداء .;شخصية تابعة 
أحب أن اتبع زملائي الآخرون واذهب إلى نفس النادي معهم .;شخصية تابعة 
سوف اتبع أعز أصدقائي وأنضم إلى نفس النادي معهم .;شخصية تابعة 
اقترح بأن نجلب الهدايا لبعضنا في الصف لنفرح زملائنا .;شخصية قيادية
اقترح اقامة حفلة لزميلنا مشعل لأنه انتهى من حفظ جزء عم من القرآن الكريم !;شخصية قيادية
أرى أنه لابد من عمل جداول تنظيميه لتنظيم الوقت والدراسة .;شخصية قيادية
اقترح إنشاء نادٍ لتعزيز التوعية بأهمية القراءة في مدرستي .;شخصية قيادية
أريد أن أكون مسؤولا عن الاذاعة الصباحية يا أستاذ .;شخصية قيادية
ارشدني إلى متجر الحلويات الذي تحبه وسوف اشتري منه مثلك .;شخصية تابعة 
لا أعرف ، أنا اتبع ما تقوله أمي فقط .;شخصية تابعة 
سوف اتبع تعليمات المعلمة وأفعل كما تقول .;شخصية تابعة 
أدخل أنت أولًا إلى المدير وسوف اتبعك.;شخصية تابعة 
لا أعرف ما الذي يجب القيام به، إن كنت أنت تعلم سوف اتبعك !;شخصية تابعة 
واثق بأن كل واحد منا لديه مايميزه لأني أستطيع رؤية ذلك فيكم يا أصحابي;شخصية قيادية
اقترح تنظيم حملة للمشاركة في حماية البيئة مع مدرستي وأصدقائي .;شخصية قيادية
أنا قائد يؤمن بأهمية التحفيز والتشجيع بين اصدقائي للنجاح .;شخصية قيادية
أنا واثق بأننا سنكون قادرين على تحقيق أمانينا إن عملنا بجد واجتهاد .;شخصية قيادية
أنا أشعر بالمسؤولية تجاه اخوتي الصغار عند غياب والدي .;شخصية قيادية
لا أعرف ما إذا كان بإمكاني القيام بذلك ، لذلك ارشدني من فضلك .;شخصية تابعة 
سوف أفعل كما يريد الآخرون وألحق بهم .;شخصية تابعة 
سوف أفعل ما تريد مني المعلمة أن أفعله والتزم بما تقوله .;شخصية تابعة 
سوف تكون الإمبراطور يا صديقي ؟ إذا سوف اتبعك بإخلاص ولا أخونك أبدا أبدا ;شخصية تابعة 
أنت صديقي المفضل يا زيد لذلك سوف اتبعك وأكون إلى جانبك دائمًا .;شخصية تابعة 
أرى في الصداقة والتعاون قوة حقيقية لتحقيق النجاح يا أصدقائي .;شخصية قيادية
اقترح تنظيم حملة توعوية للحد من التنمر في المدرسة .;شخصية قيادية
أنا مسؤول عن ابتكار الألعاب الممتعة من أجل أصدقائي في الفصل ، إنهم يثقون بي لأني دائمًا ما اقترح ألعاب مميزة !;شخصية قيادية
